12/15/2018 17:52:53 - 1002	L	713,-1,0,0,0,0,0,payon
12/15/2018 17:52:53 - 1002	L	909,-1,0,0,0,0,0,payon
12/15/2018 17:52:53 - 1002	L	909,-1,0,0,0,0,0,payon
12/15/2018 17:52:53 - 1002	L	909,-1,0,0,0,0,0,payon
12/15/2018 17:52:53 - 1002	L	909,-1,0,0,0,0,0,payon
12/15/2018 17:52:53 - 1002	L	713,-1,0,0,0,0,0,payon
12/15/2018 17:52:53 - 1002	L	619,-1,0,0,0,0,0,payon
12/15/2018 17:53:23 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:53:23 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:53:23 - 1002	L	619,1,0,0,0,0,0,payon
12/15/2018 17:53:24 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:53:24 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:53:24 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:53:24 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:53:24 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:53:25 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:53:25 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:53:25 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:55:01 - 1031	M	938,-1,pay_dun00
12/15/2018 17:55:01 - 1031	M	910,-1,pay_dun00
12/15/2018 17:56:01 - 1015	M	957,-1,pay_dun00
12/15/2018 17:56:25 - 1005	M	913,-1,pay_dun00
12/15/2018 17:56:25 - 1005	M	507,-1,pay_dun00
12/15/2018 17:56:35 - 1015	M	957,-1,pay_dun00
12/15/2018 17:56:48 - 1031	M	938,-1,pay_dun00
12/15/2018 17:56:49 - 1031	L	938,1,0,0,0,0,0,pay_dun00
12/15/2018 17:56:50 - 1031	M	938,-1,pay_dun00
12/15/2018 17:56:50 - 1031	L	938,-1,0,0,0,0,0,pay_dun00
12/15/2018 17:56:59 - 1076	M	1010,-1,pay_dun00
12/15/2018 17:57:02 - 1005	M	913,-1,pay_dun00
12/15/2018 17:57:08 - 1015	M	957,-1,pay_dun00
12/15/2018 17:57:21 - 1015	M	957,-1,pay_dun00
12/15/2018 17:57:31 - 1031	L	957,1,0,0,0,0,0,pay_dun00
12/15/2018 17:57:33 - 1031	L	957,1,0,0,0,0,0,pay_dun00
12/15/2018 17:57:35 - 1031	L	938,1,0,0,0,0,0,pay_dun00
12/15/2018 17:57:35 - 1031	L	938,1,0,0,0,0,0,pay_dun00
12/15/2018 17:57:37 - 1031	L	913,1,0,0,0,0,0,pay_dun00
12/15/2018 17:57:37 - 1031	L	1010,1,0,0,0,0,0,pay_dun00
12/15/2018 17:57:59 - 1015	M	957,-1,pay_dun00
12/15/2018 17:57:59 - 1031	L	957,1,0,0,0,0,0,pay_dun00
12/15/2018 17:58:05 - 1031	M	938,-1,pay_dun00
12/15/2018 17:58:05 - 1031	L	957,-1,0,0,0,0,0,pay_dun00
12/15/2018 17:58:05 - 1031	L	957,-1,0,0,0,0,0,pay_dun00
12/15/2018 17:58:05 - 1031	L	957,-1,0,0,0,0,0,pay_dun00
12/15/2018 17:58:12 - 1015	M	957,-1,pay_dun00
12/15/2018 17:58:21 - 1015	M	957,-1,pay_dun00
12/15/2018 17:58:24 - 1015	M	957,-1,pay_dun00
12/15/2018 17:58:48 - 1076	M	909,-1,pay_dun00
12/15/2018 17:59:09 - 1028	M	932,-1,pay_dun01
12/15/2018 17:59:40 - 1016	M	932,-1,pay_dun01
12/15/2018 18:00:06 - 1016	M	932,-1,pay_dun01
12/15/2018 18:00:40 - 1016	M	932,-1,pay_dun01
01/16/2019 20:00:40 - 1015	M	957,-1,pay_dun00
01/16/2019 20:00:51 - 1031	L	957,1,0,0,0,0,0,pay_dun00
01/16/2019 20:00:52 - 1031	L	957,-1,0,0,0,0,0,pay_dun00
01/16/2019 20:01:18 - 1076	M	909,-1,pay_dun00
01/16/2019 20:01:21 - 1031	L	909,1,0,0,0,0,0,pay_dun00
01/16/2019 20:01:23 - 1076	M	909,-1,pay_dun00
01/16/2019 20:01:25 - 1031	L	909,1,0,0,0,0,0,pay_dun00
01/16/2019 20:02:25 - 150000	A	4142,1,prontera
01/16/2019 20:02:54 - 1028	M	932,-1,pay_dun01
01/16/2019 20:02:54 - 1028	M	1201,-1,pay_dun01
01/16/2019 20:02:54 - 1028	M	1216,-1,pay_dun01
01/16/2019 20:02:55 - 1111	M	7006,-1,pay_dun01
01/16/2019 20:03:16 - 1028	M	932,-1,pay_dun01
01/16/2019 20:03:20 - 1078	M	712,-1,pay_dun01
01/16/2019 20:12:05 - 150000	A	4142,1,prontera
01/16/2019 20:12:56 - 1149	M	941,-1,in_sphinx4
01/16/2019 20:13:03 - 1149	M	941,-1,in_sphinx4
01/16/2019 20:13:05 - 150000	A	678,20,in_sphinx4
